Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1767496816,10,GET,/health,1.111111,0.000000,210,210,210,220,250,600,600,600,600,600,600,15,0,210.57600300002832,240.9311051333399,210.57600300002832,602.126501999976,37.0
1767496816,10,POST,/predict/text?resume_text=DevOps+Architect+Kubernetes+Docker+AWS+GCP+Terraform+Ansible,1.000000,0.000000,260,260,260,260,300,300,300,300,300,300,300,9,0,260.0,264.90513377777665,255.68765599996368,298.69655299995657,95.88888888888889
1767496816,10,POST,/predict/text?resume_text=Experienced+Python+DevOps+Engineer+Terraform+AWS+FastAPI,1.111111,0.000000,260,260,260,260,260,300,300,300,300,300,300,14,0,260.0,340.6762039999884,255.92031700000462,779.7451969999543,96.0
1767496816,10,POST,/predict/text?resume_text=Senior+ML+Engineer+Resume+Screening+Scikit-learn+FastAPI,1.333333,0.000000,260,510,600,690,730,820,820,820,820,820,820,15,0,260.0,414.4164750666656,255.0443939999809,820.3858969999942,92.86666666666666
1767496816,10,,Aggregated,4.555556,0.000000,260,260,260,260,260,280,300,300,300,300,300,53,0,260.0,320.4495615660361,210.57600300002832,820.3858969999942,78.39622641509433
1767496817,10,GET,/health,1.300000,0.000000,210,210,210,210,220,250,250,250,250,250,250,17,0,210.57600300002832,238.10362900000575,210.57600300002832,602.126501999976,37.0
1767496817,10,POST,/predict/text?resume_text=DevOps+Architect+Kubernetes+Docker+AWS+GCP+Terraform+Ansible,0.900000,0.000000,260,260,260,260,300,300,300,300,300,300,300,10,0,260.0,264.5814581999957,255.68765599996368,298.69655299995657,95.9
1767496817,10,POST,/predict/text?resume_text=Experienced+Python+DevOps+Engineer+Terraform+AWS+FastAPI,1.000000,0.000000,260,260,260,260,300,300,300,300,300,300,300,15,0,260.0,335.01913566665655,255.8201790000112,779.7451969999543,96.0
1767496817,10,POST,/predict/text?resume_text=Senior+ML+Engineer+Resume+Screening+Scikit-learn+FastAPI,1.400000,0.000000,260,260,260,260,260,260,260,260,260,260,260,15,0,260.0,414.4164750666656,255.0443939999809,820.3858969999942,92.86666666666666
1767496817,10,,Aggregated,4.600000,0.000000,260,260,260,260,260,280,300,300,300,300,300,57,0,260.0,314.6510602806999,210.57600300002832,820.3858969999942,77.56140350877193
1767496818,10,GET,/health,1.500000,0.000000,210,210,210,210,220,220,220,220,220,220,220,17,0,210.57600300002832,238.10362900000575,210.57600300002832,602.126501999976,37.0
1767496818,10,POST,/predict/text?resume_text=DevOps+Architect+Kubernetes+Docker+AWS+GCP+Terraform+Ansible,0.900000,0.000000,260,260,260,260,300,300,300,300,300,300,300,11,0,260.0,263.7437711818145,255.36690100000214,298.69655299995657,95.9090909090909
1767496818,10,POST,/predict/text?resume_text=Experienced+Python+DevOps+Engineer+Terraform+AWS+FastAPI,1.200000,0.000000,260,260,260,260,260,300,300,300,300,300,300,17,0,260.0,325.70686517645777,255.0841919999698,779.7451969999543,96.0
1767496818,10,POST,/predict/text?resume_text=Senior+ML+Engineer+Resume+Screening+Scikit-learn+FastAPI,1.400000,0.000000,260,260,260,260,260,260,260,260,260,260,260,16,0,260.0,404.5763864375011,255.0443939999809,820.3858969999942,92.875
1767496818,10,,Aggregated,5.000000,0.000000,260,260,260,260,260,260,300,300,300,300,300,61,0,260.0,310.8062633934403,210.57600300002832,820.3858969999942,78.72131147540983
1767496819,10,GET,/health,1.500000,0.000000,210,210,210,210,220,220,220,220,220,220,220,19,0,210.57600300002832,235.4321274736914,210.57600300002832,602.126501999976,37.0
1767496819,10,POST,/predict/text?resume_text=DevOps+Architect+Kubernetes+Docker+AWS+GCP+Terraform+Ansible,1.000000,0.000000,260,260,260,260,300,300,300,300,300,300,300,11,0,260.0,263.7437711818145,255.36690100000214,298.69655299995657,95.9090909090909
1767496819,10,POST,/predict/text?resume_text=Experienced+Python+DevOps+Engineer+Terraform+AWS+FastAPI,1.100000,0.000000,260,260,260,260,260,300,300,300,300,300,300,18,0,260.0,321.82137555554385,255.0841919999698,779.7451969999543,96.0
1767496819,10,POST,/predict/text?resume_text=Senior+ML+Engineer+Resume+Screening+Scikit-learn+FastAPI,0.900000,0.000000,260,260,260,260,260,260,260,260,260,260,260,18,0,260.0,388.3451752222255,255.0443939999809,820.3858969999942,92.88888888888889
1767496819,10,,Aggregated,4.500000,0.000000,260,260,260,260,260,260,300,300,300,300,300,66,0,260.0,305.41499725757495,210.57600300002832,820.3858969999942,78.15151515151516
1767496820,10,GET,/health,1.600000,0.000000,210,210,210,210,220,220,220,220,220,220,220,20,0,210.57600300002832,234.21090075000848,210.57600300002832,602.126501999976,37.0
1767496820,10,POST,/predict/text?resume_text=DevOps+Architect+Kubernetes+Docker+AWS+GCP+Terraform+Ansible,1.100000,0.000000,260,260,260,260,300,300,300,300,300,300,300,13,0,260.0,262.5192709999956,255.36690100000214,298.69655299995657,95.92307692307692
1767496820,10,POST,/predict/text?resume_text=Experienced+Python+DevOps+Engineer+Terraform+AWS+FastAPI,1.000000,0.000000,260,260,260,260,260,300,300,300,300,300,300,18,0,260.0,321.82137555554385,255.0841919999698,779.7451969999543,96.0
1767496820,10,POST,/predict/text?resume_text=Senior+ML+Engineer+Resume+Screening+Scikit-learn+FastAPI,0.900000,0.000000,260,260,260,260,260,260,260,260,260,260,260,19,0,260.0,381.3901996842123,255.0443939999809,820.3858969999942,92.89473684210526
1767496820,10,,Aggregated,4.600000,0.000000,260,260,260,260,260,260,300,300,300,300,300,70,0,260.0,301.9452441714277,210.57600300002832,820.3858969999942,78.28571428571429
1767496821,10,GET,/health,1.700000,0.000000,210,210,210,210,220,220,220,220,220,220,220,21,0,210.57600300002832,233.10056257143754,210.57600300002832,602.126501999976,37.0
1767496821,10,POST,/predict/text?resume_text=DevOps+Architect+Kubernetes+Docker+AWS+GCP+Terraform+Ansible,0.900000,0.000000,260,260,260,260,300,300,300,300,300,300,300,13,0,260.0,262.5192709999956,255.36690100000214,298.69655299995657,95.92307692307692
1767496821,10,POST,/predict/text?resume_text=Experienced+Python+DevOps+Engineer+Terraform+AWS+FastAPI,1.100000,0.000000,260,260,260,260,260,300,300,300,300,300,300,21,0,260.0,312.49770057141967,255.0841919999698,779.7451969999543,95.95238095238095
1767496821,10,POST,/predict/text?resume_text=Senior+ML+Engineer+Resume+Screening+Scikit-learn+FastAPI,1.100000,0.000000,260,260,260,260,260,270,270,270,270,270,270,21,0,260.0,370.1268469523814,255.0443939999809,820.3858969999942,92.85714285714286
1767496821,10,,Aggregated,4.800000,0.000000,260,260,260,260,260,260,300,300,300,300,300,76,0,260.0,297.9339188815784,210.57600300002832,820.3858969999942,78.80263157894737
1767496822,10,GET,/health,1.600000,0.000000,210,210,210,210,220,220,220,220,220,220,220,21,0,210.57600300002832,233.10056257143754,210.57600300002832,602.126501999976,37.0
1767496822,10,POST,/predict/text?resume_text=DevOps+Architect+Kubernetes+Docker+AWS+GCP+Terraform+Ansible,0.900000,0.000000,260,260,260,260,300,300,300,300,300,300,300,13,0,260.0,262.5192709999956,255.36690100000214,298.69655299995657,95.92307692307692
1767496822,10,POST,/predict/text?resume_text=Experienced+Python+DevOps+Engineer+Terraform+AWS+FastAPI,1.100000,0.000000,260,260,260,260,260,260,260,260,260,260,260,22,0,260.0,309.9922209090819,255.0841919999698,779.7451969999543,95.95454545454545
1767496822,10,POST,/predict/text?resume_text=Senior+ML+Engineer+Resume+Screening+Scikit-learn+FastAPI,1.100000,0.000000,260,260,260,260,260,270,270,270,270,270,270,22,0,260.0,364.90535290909065,255.0443939999809,820.3858969999942,92.86363636363636
1767496822,10,,Aggregated,4.700000,0.000000,260,260,260,260,260,260,270,270,270,270,270,78,0,260.0,296.8667815512812,210.57600300002832,820.3858969999942,79.2051282051282
